product,advertised_mhash_per_s,mhash_per_joule,mhash_per_s_per_usd,watts,price_usd,currently_shipping,comm_ports,dev_friendly
AntMiner S1 [1],180000,500,602,360,299,Discontinued,Ethernet,GPL infringement
AntMiner S2 [3],1000000,900,442,1100,2259,Discontinued,Ethernet,GPL infringement
AntMiner S3 [4],441000,1300,1154,340,382,Discontinued,Ethernet,GPL infringement
AntMiner S3+ [5],453000,1282,1198,355,363,Discontinued,Ethernet,GPL infringement
AntMiner S4 [6],2000000,1429,1429,1400,1400,Discontinued,Ethernet,GPL infringement
AntMiner S5 [7],1155000,1957,3121,590,370,Discontinued,Ethernet,GPL infringement
AntMiner S5+ [8],7722000,2247,3347,3436,2307,No,Ethernet,GPL infringement
AntMiner S7 [9],4860000,4000,2666,1210,1823,No,Ethernet,GPL infringement
AntMiner S9 [10],14000000,10182,5833,1375,2400,Yes,Ethernet,GPL infringement
AntMiner U1 [11],1600,800,55,2,29,Discontinued,USB,"code, samples"
AntMiner U2+ [12],2000,1000,115,2,17,Discontinued,USB,code
AntMiner U3 [13],63000,1000,1658,63,38,Yes,USB,code
ASICMiner BE Blade,10752,129,28,83,350,Discontinued,Ethernet,samples
ASICMiner BE Cube,30000,150,55,200,550,Discontinued,Ethernet,samples
ASICMiner BE Sapphire,336,130,17,2.55,20,Discontinued,USB,samples
ASICMiner BE Tube [15],800000,888,2500,900,320,Discontinued,Proprietary,samples
ASICMiner BE Prisma [16],1400000,1333,2333,1100,600,Discontinued,Proprietary,No
Avalon Batch 1,66300,107,52.34,620,1299,Discontinued,"Ethernet, Wifi",code
Avalon Batch 2,82000,117,54.7,700,1499,Discontinued,"Ethernet, Wifi",code
Avalon Batch 3,82000,117,54.7,700,1499,Discontinued,"Ethernet, Wifi",code
Avalon2,300000,,,,3075,Discontinued,USB or Ethernet,"code, docs, samples"
Avalon3,800000,,,,,Discontinued,USB or Ethernet,"code, docs, samples"
Avalon6,3500000,,,1080,,Discontinued,Ethernet,?
Avalon721,6000000,6000,,1000,,No,Ethernet,?
Avalon741,7300000,6350,5035,1150,1450,Yes,Ethernet,?
Avalon761,8800000,6670,4730,1320,1860,Yes,Ethernet,?
Avalon821,11000000,9170,3800,1200,2900,Bulk only,Ethernet,?
bi*fury,5000,1176,24,4.25,209,Discontinued,USB,"docs, samples"
BFL SC 5Gh/s,5000,166,18.24,30,274,Discontinued,USB,"docs, samples"
BFL SC 10 Gh/s,10000,,200,,50,Discontinued,USB,"docs, samples"
BFL SC 25 Gh/s,25000,166,20.0,150,1249,Discontinued,USB,"docs, samples"
BFL Little Single,30000,,46.22,,649,Discontinued,USB,"docs, samples"
BFL SC 50 Gh/s,50000,166,50,300,984,Discontinued,USB,"docs, samples"
BFL Single 'SC',60000,250,46.18,240,1299,Discontinued,USB,"docs, samples"
BFL 230 GH/s Rack Mount[19],230000,,500,,399,Discontinued,USB,docs
BFL 500 GH/s Mini Rig SC,500000,185,,2700,22484,Discontinued,Wifi,"docs, samples"
BFL Monarch 700GH/s[20],700000,1428,508,490,1379,Discontinued,"PCIe, USB","docs, samples"
BitFury S.B.,,,,,,Discontinued,RPi GPIO,No
Bitmine.ch Avalon Clone 85GH,85000,,13,650,6489,Discontinued,"Ethernet, Wifi, USB",code
Black Arrow Prospero X-1,100000,1000,270,100,370,Discontinued,Ethernet,"docs, samples"
Black Arrow Prospero X-3,2000000,1000,333,2000,6000,Discontinued,Ethernet,?
Blue Fury,2500,1000,17.8,2.5,140,Discontinued,USB,"code, samples"
BTC Garden AM-V1 310 GH/s[22],310000,954,1003,324,309,Discontinued,RPi GPIO,No
