Date,Bitcoin,Litecoin,Monero,Dash,ZCash,Bitcoin Cash,Ethereum Classic,Bitcoin Gold,Dogecoin,Vertcoin
2015-01-01,8.727,2.549,1.047,2.628,0.0,0.0,0.0,8.727,1.074,2.682
2015-01-02,8.727,2.453,1.014,2.613,0.0,0.0,0.0,8.727,1.051,2.5
2015-01-03,8.889,2.483,1.027,2.637,0.0,0.0,0.0,8.889,1.051,2.54
2015-01-04,8.372,2.637,0.984,2.628,0.0,0.0,0.0,8.372,1.046,2.297
2015-01-05,9.231,2.785,1.021,2.647,0.0,0.0,0.0,9.231,1.054,2.544
2015-01-06,9.114,2.677,1.101,2.599,0.0,0.0,0.0,9.114,1.062,2.662
2015-01-07,10.286,2.988,1.0,2.609,0.0,0.0,0.0,10.286,1.045,2.404
2015-01-08,9.796,2.585,1.012,2.623,0.0,0.0,0.0,9.796,1.059,2.637
2015-01-09,10.286,2.457,1.015,2.652,0.0,0.0,0.0,10.286,1.047,2.535
2015-01-10,9.796,2.558,0.981,2.642,0.0,0.0,0.0,9.796,1.05,2.428
2015-01-11,9.29,2.642,1.023,2.59,0.0,0.0,0.0,9.29,1.063,2.562
2015-01-12,10.141,2.522,1.01,2.633,0.0,0.0,0.0,10.141,1.044,2.595
2015-01-13,11.339,2.851,1.006,2.623,0.0,0.0,0.0,11.339,1.04,2.487
2015-01-14,9.931,2.652,1.01,2.628,0.0,0.0,0.0,9.931,1.05,2.42
2015-01-15,9.536,2.863,0.983,2.623,0.0,0.0,0.0,9.536,1.042,2.775
2015-01-16,10.36,2.927,1.01,2.609,0.0,0.0,0.0,10.36,1.041,2.449
2015-01-17,10.435,2.657,1.033,2.623,0.0,0.0,0.0,10.435,1.048,2.522
2015-01-18,9.412,2.637,1.001,2.637,0.0,0.0,0.0,9.412,1.05,2.384
2015-01-19,10.0,2.637,0.996,2.623,0.0,0.0,0.0,10.0,1.05,2.581
2015-01-20,12.203,2.424,1.023,2.613,0.0,0.0,0.0,12.203,1.05,2.553
2015-01-21,9.664,2.662,0.997,2.633,0.0,0.0,0.0,9.664,1.06,2.42
2015-01-22,10.667,2.289,1.025,2.623,0.0,0.0,0.0,10.667,1.047,2.585
2015-01-23,11.613,2.376,1.002,2.618,0.0,0.0,0.0,11.613,1.049,2.633
2015-01-24,11.429,2.428,0.995,2.628,0.0,0.0,0.0,11.429,1.037,2.581
2015-01-25,11.52,2.357,0.996,2.618,0.0,0.0,0.0,11.52,1.043,2.408
2015-01-26,11.339,2.47,1.016,2.628,0.0,0.0,0.0,11.339,1.04,2.457
2015-01-27,9.664,2.368,1.031,2.604,0.0,0.0,0.0,9.664,1.056,2.748
2015-01-28,8.78,2.504,0.972,2.642,0.0,0.0,0.0,8.78,1.061,2.254
2015-01-29,8.78,2.491,1.026,2.633,0.0,0.0,0.0,8.78,1.06,2.581
2015-01-30,10.435,2.457,0.981,2.628,0.0,0.0,0.0,10.435,1.056,2.5
2015-01-31,8.675,2.544,1.037,2.613,0.0,0.0,0.0,8.675,1.052,2.613
2015-02-01,9.29,2.457,0.997,2.599,0.0,0.0,0.0,9.29,1.056,2.513
2015-02-02,9.057,2.487,0.994,2.618,0.0,0.0,0.0,9.057,1.041,2.384
2015-02-03,11.339,2.487,1.015,2.672,0.0,0.0,0.0,11.339,1.052,2.509
2015-02-04,9.057,2.702,1.019,2.599,0.0,0.0,0.0,9.057,1.07,2.308
2015-02-05,9.057,2.604,0.994,2.628,0.0,0.0,0.0,9.057,1.062,2.604
2015-02-06,8.136,2.457,1.014,2.647,0.0,0.0,0.0,8.136,1.045,2.677
2015-02-07,9.057,2.535,0.965,2.604,0.0,0.0,0.0,9.057,1.053,2.576
2015-02-08,10.909,2.549,1.022,2.647,0.0,0.0,0.0,10.909,1.049,2.416
2015-02-09,8.944,2.775,1.023,2.623,0.0,0.0,0.0,8.944,1.051,2.5
2015-02-10,10.0,2.595,0.997,2.618,0.0,0.0,0.0,10.0,1.057,2.585
2015-02-11,9.114,2.462,1.003,2.618,0.0,0.0,0.0,9.114,1.047,2.571
2015-02-12,12.101,2.338,1.005,2.652,0.0,0.0,0.0,12.101,1.054,2.553
2015-02-13,9.863,2.576,1.021,2.604,0.0,0.0,0.0,9.863,1.052,2.396
2015-02-14,9.0,2.304,0.995,2.637,0.0,0.0,0.0,9.0,1.043,2.642
2015-02-15,10.286,2.517,0.983,2.623,0.0,0.0,0.0,10.286,1.047,2.457
2015-02-16,9.172,2.571,1.068,2.623,0.0,0.0,0.0,9.172,1.06,2.449
2015-02-17,9.664,2.637,0.984,2.609,0.0,0.0,0.0,9.664,1.053,2.672
2015-02-18,8.623,2.491,0.999,2.642,0.0,0.0,0.0,8.623,1.043,2.553
2015-02-19,8.675,2.697,0.999,2.604,0.0,0.0,0.0,8.675,1.043,2.662
2015-02-20,9.114,2.544,1.011,2.623,0.0,0.0,0.0,9.114,1.053,2.392
2015-02-21,10.141,2.4,1.008,2.613,0.0,0.0,0.0,10.141,1.057,2.441
2015-02-22,9.536,2.392,0.994,2.652,0.0,0.0,0.0,9.536,1.039,2.526
2015-02-23,10.141,2.562,0.978,2.618,0.0,0.0,0.0,10.141,1.062,2.535
2015-02-24,11.163,2.408,1.013,2.637,0.0,0.0,0.0,11.163,1.044,2.628
2015-02-25,9.057,2.478,1.03,2.623,0.0,0.0,0.0,9.057,1.055,2.365
2015-02-26,9.6,2.722,1.001,2.628,0.0,0.0,0.0,9.6,1.048,2.453
2015-02-27,9.474,2.504,1.021,2.613,0.0,0.0,0.0,9.474,1.054,2.667
2015-02-28,10.141,2.478,0.993,2.613,0.0,0.0,0.0,10.141,1.043,2.408
2015-03-01,10.286,2.487,1.001,2.647,0.0,0.0,0.0,10.286,1.05,2.496
2015-03-02,9.114,2.697,1.011,2.642,0.0,0.0,0.0,9.114,1.043,2.474
2015-03-03,9.114,2.483,0.99,2.609,0.0,0.0,0.0,9.114,1.055,2.623
2015-03-04,10.286,2.571,1.018,2.618,0.0,0.0,0.0,10.286,1.046,2.571
2015-03-05,10.909,2.769,1.051,2.623,0.0,0.0,0.0,10.909,1.054,2.424
2015-03-06,9.73,2.509,0.955,2.609,0.0,0.0,0.0,9.73,1.06,2.558
2015-03-07,10.286,2.453,0.997,2.633,0.0,0.0,0.0,10.286,1.043,2.345
2015-03-08,9.231,2.388,1.03,2.657,0.0,0.0,0.0,9.231,1.056,2.445
2015-03-09,10.0,2.376,1.008,2.604,0.0,0.0,0.0,10.0,1.047,2.585
2015-03-10,9.474,2.25,1.0,2.637,0.0,0.0,0.0,9.474,1.053,2.487
2015-03-11,9.351,2.388,0.982,2.623,0.0,0.0,0.0,9.351,1.047,2.657
2015-03-12,10.992,2.581,1.028,2.613,0.0,0.0,0.0,10.992,1.047,2.319
