Date,Bitcoin,Litecoin,Monero,Dash,ZCash,Bitcoin Cash,Ethereum Classic,Bitcoin Gold,Dogecoin,Vertcoin
2015-01-01,3.221646474025638e+17,1495639433228.0,18830659.0,86594711266.0,0.0,0.0,0.0,3.221646474025638e+17,1448685436398.0,2897499044.0
2015-01-02,3.30205084335504e+17,1593350108223.0,18593800.0,83831173885.0,0.0,0.0,0.0,3.30205084335504e+17,1375826936593.0,2761021642.0
2015-01-03,3.337177272510912e+17,1568703406354.0,17822846.0,84690664869.0,0.0,0.0,0.0,3.337177272510912e+17,1401907897918.0,2786121553.0
2015-01-04,3.3119770886163923e+17,1489530677164.0,16963953.0,90481558770.0,0.0,0.0,0.0,3.3119770886163923e+17,1335329507353.0,3088773955.0
2015-01-05,3.350928767299913e+17,1442629409901.0,16918400.0,85894773955.0,0.0,0.0,0.0,3.350928767299913e+17,1271761567348.0,3011286091.0
2015-01-06,3.168286111599005e+17,1389153397725.0,14321669.0,85168509671.0,0.0,0.0,0.0,3.168286111599005e+17,1205775106074.0,2843183624.0
2015-01-07,3.104985586696799e+17,1302068890911.0,14003574.0,83043985491.0,0.0,0.0,0.0,3.104985586696799e+17,1117489919452.0,2970630614.0
2015-01-08,2.7859953053112128e+17,1298286932736.0,14002067.0,81433441361.0,0.0,0.0,0.0,2.7859953053112128e+17,1152749800309.0,2886086577.0
2015-01-09,3.059590811838109e+17,1380218366307.0,12750258.0,91815744872.0,0.0,0.0,0.0,3.059590811838109e+17,1141018697941.0,2670723068.0
2015-01-10,2.898963884782202e+17,1461812732576.0,13675782.0,76157600837.0,0.0,0.0,0.0,2.898963884782202e+17,1191513271814.0,2909674165.0
2015-01-11,2.980628206319281e+17,1274037630528.0,13600380.0,74264037853.0,0.0,0.0,0.0,2.980628206319281e+17,1206743984715.0,2808220264.0
2015-01-12,3.200912429780926e+17,1331007196084.0,13459638.0,78866700381.0,0.0,0.0,0.0,3.200912429780926e+17,1162515896527.0,2748926150.0
2015-01-13,2.7216190125238566e+17,1267878660532.0,13381446.0,80868512207.0,0.0,0.0,0.0,2.7216190125238566e+17,1114397122067.0,2681019567.0
2015-01-14,3.137237555327364e+17,1248936144544.0,13028268.0,80688831162.0,0.0,0.0,0.0,3.137237555327364e+17,1038454104579.0,2901203693.0
2015-01-15,3.105778754628854e+17,1182671552012.0,13546019.0,89933109368.0,0.0,0.0,0.0,3.105778754628854e+17,1029564389768.0,2659159774.0
2015-01-16,3.27862484774543e+17,1124727275634.0,13435184.0,89465414094.0,0.0,0.0,0.0,3.27862484774543e+17,1009927333152.0,2523852713.0
2015-01-17,2.980612322778658e+17,1135731438645.0,14706560.0,88472986862.0,0.0,0.0,0.0,2.980612322778658e+17,1084388578157.0,2624076500.0
2015-01-18,3.2053242514603296e+17,1179257767282.0,13431306.0,87183992548.0,0.0,0.0,0.0,3.2053242514603296e+17,1048697402756.0,2629379076.0
2015-01-19,3.4548824374770016e+17,1097270237453.0,13366470.0,86057958306.0,0.0,0.0,0.0,3.4548824374770016e+17,941844599113.0,2794556361.0
2015-01-20,2.7414458349884525e+17,1175028253445.0,13250336.0,87001525719.0,0.0,0.0,0.0,2.7414458349884525e+17,1072274363843.0,2517139645.0
2015-01-21,2.8418502896642275e+17,1117081260482.0,13778999.0,87813697098.0,0.0,0.0,0.0,2.8418502896642275e+17,981409829585.0,2623103251.0
2015-01-22,3.3609286815488083e+17,1164356328996.0,12861207.0,83538922001.0,0.0,0.0,0.0,3.3609286815488083e+17,1015344296915.0,2618439661.0
2015-01-23,2.809923512272681e+17,1237555635875.0,13063633.0,102600560590.0,0.0,0.0,0.0,2.809923512272681e+17,1026263131484.0,2508082377.0
2015-01-24,2.6731810154695213e+17,1171950148811.0,13665804.0,99593823564.0,0.0,0.0,0.0,2.6731810154695213e+17,1026706002723.0,2375411179.0
2015-01-25,2.7915105028574883e+17,1242741857725.0,13900687.0,104567259274.0,0.0,0.0,0.0,2.7915105028574883e+17,1012312850080.0,2519663644.0
2015-01-26,2.750025396283286e+17,1228568205378.0,13423061.0,98439650620.0,0.0,0.0,0.0,2.750025396283286e+17,1086568092276.0,2579780247.0
2015-01-27,2.957861587505888e+17,1241274983014.0,12559164.0,98544551600.0,0.0,0.0,0.0,2.957861587505888e+17,1134575226008.0,2393573123.0
2015-01-28,3.1872224317321805e+17,1270384029894.0,12623870.0,88615778424.0,0.0,0.0,0.0,3.1872224317321805e+17,1131518925175.0,2525633544.0
2015-01-29,3.3912809195582803e+17,1260317861899.0,13040613.0,86330202825.0,0.0,0.0,0.0,3.3912809195582803e+17,1092600699687.0,2891996311.0
2015-01-30,3.177054245622953e+17,1252007959359.0,13261403.0,89541666618.0,0.0,0.0,0.0,3.177054245622953e+17,1041910808382.0,2434461530.0
2015-01-31,3.02786161350196e+17,1227086420963.0,12949284.0,86615390639.0,0.0,0.0,0.0,3.02786161350196e+17,1007946803887.0,2648567971.0
