Date,Bitcoin,Litecoin,Monero,Dash,ZCash,Bitcoin Cash,Ethereum Classic,Bitcoin Gold,Dogecoin,Vertcoin
2015-01-01,315.626,2.713,0.434,1.945,0.0,0.0,0.0,315.626,0.000182,0.0193
2015-01-02,314.346,2.681,0.46,1.924,0.0,0.0,0.0,314.346,0.000182,0.0197
2015-01-03,303.591,2.393,0.469,1.844,0.0,0.0,0.0,303.591,0.000174,0.0174
2015-01-04,274.82,2.052,0.433,1.668,0.0,0.0,0.0,274.82,0.000164,0.0155
2015-01-05,272.076,2.085,0.414,1.648,0.0,0.0,0.0,272.076,0.000159,0.0151
2015-01-06,276.104,2.091,0.434,1.664,0.0,0.0,0.0,276.104,0.000162,0.0156
2015-01-07,287.178,2.129,0.458,1.717,0.0,0.0,0.0,287.178,0.000171,0.0157
2015-01-08,287.542,2.066,0.445,1.708,0.0,0.0,0.0,287.542,0.000169,0.016
2015-01-09,283.794,1.996,0.425,1.704,0.0,0.0,0.0,283.794,0.000167,0.0158
2015-01-10,280.21,1.813,0.397,1.683,0.0,0.0,0.0,280.21,0.000163,0.0147
2015-01-11,273.146,1.784,0.391,1.654,0.0,0.0,0.0,273.146,0.000159,0.014
2015-01-12,269.036,1.744,0.371,1.637,0.0,0.0,0.0,269.036,0.000156,0.0138
2015-01-13,239.441,1.592,0.326,1.452,0.0,0.0,0.0,239.441,0.000141,0.011
2015-01-14,197.577,1.355,0.257,1.183,0.0,0.0,0.0,197.577,0.000125,0.00964
2015-01-15,205.937,1.309,0.251,1.248,0.0,0.0,0.0,205.937,0.000137,0.0109
2015-01-16,211.756,1.385,0.265,1.315,0.0,0.0,0.0,211.756,0.000139,0.0103
2015-01-17,200.604,1.323,0.255,1.214,0.0,0.0,0.0,200.604,0.000136,0.01
2015-01-18,205.929,1.317,0.249,1.268,0.0,0.0,0.0,205.929,0.000137,0.01
2015-01-19,211.824,1.342,0.249,1.328,0.0,0.0,0.0,211.824,0.000138,0.00992
2015-01-20,210.64,1.331,0.24,1.355,0.0,0.0,0.0,210.64,0.000141,0.01
2015-01-21,214.636,1.347,0.242,1.496,0.0,0.0,0.0,214.636,0.000146,0.0105
2015-01-22,232.311,1.429,0.272,1.63,0.0,0.0,0.0,232.311,0.000153,0.0111
